carat,depth,table,price,cut_b'Good',cut_b'Ideal',cut_b'Premium',cut_b'Very Good',color_b'E',color_b'F',color_b'G',color_b'H',color_b'I',color_b'J',clarity_b'IF',clarity_b'SI1',clarity_b'SI2',clarity_b'VS1',clarity_b'VS2',clarity_b'VVS1',clarity_b'VVS2'
0.23,63.8,55.0,352.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.23,61.0,57.0,353.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.31,59.4,62.0,353.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.23,60.4,58.0,354.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.24,62.5,57.0,355.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.3,62.2,57.0,357.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0.23,60.5,61.0,357.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.23,60.9,57.0,357.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0.23,60.0,57.0,402.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0.23,60.7,59.0,402.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0.23,61.9,58.0,402.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.23,58.2,59.0,402.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.23,64.1,59.0,402.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.31,64.0,54.0,402.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.26,60.8,59.0,403.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.33,61.8,55.0,403.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.33,61.1,56.0,403.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.26,65.2,56.0,403.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.26,58.4,63.0,403.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.32,63.1,56.0,403.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.29,62.4,58.0,403.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.32,61.8,55.0,403.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0.25,63.3,60.0,404.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.29,60.7,60.0,404.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0.24,60.9,61.0,404.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.23,61.9,54.0,404.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.32,60.9,55.0,404.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.22,61.6,58.0,404.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.22,59.3,62.0,404.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,61.0,59.0,405.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.3,59.3,61.0,405.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.3,62.6,57.0,405.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.3,63.2,55.0,405.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.35,60.9,57.0,552.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.3,62.6,59.0,552.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3,62.5,57.0,552.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42,61.5,59.0,552.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.28,61.4,56.0,553.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.32,62.0,55.3,553.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.31,63.3,57.0,553.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,61.8,58.0,553.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.24,60.7,58.0,553.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.24,61.5,60.0,553.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3,63.1,56.0,554.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3,62.9,59.0,554.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3,63.7,57.0,554.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.26,59.2,60.0,554.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.26,59.9,58.0,554.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0.26,62.4,54.0,554.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.26,62.6,59.0,554.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0.26,62.1,60.0,554.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.26,62.9,58.0,554.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.38,61.6,56.0,554.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.26,57.9,60.0,554.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.24,62.3,59.0,554.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.24,61.2,58.0,554.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.24,60.7,58.0,554.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.32,62.9,58.0,554.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.7,62.5,57.0,2757.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.86,55.1,69.0,2757.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.7,61.6,56.0,2757.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.71,62.4,57.0,2759.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.78,63.8,56.0,2759.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0.7,57.5,58.0,2759.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.7,59.4,62.0,2759.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.96,66.3,62.0,2759.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.73,61.6,59.0,2760.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.8,61.5,58.0,2760.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.75,63.2,56.0,2760.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.75,59.9,54.0,2760.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.74,61.6,55.0,2760.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.75,61.7,58.0,2760.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.8,62.9,56.0,2760.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.75,62.2,55.0,2760.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.8,63.0,59.0,2760.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.74,62.3,55.0,2761.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.81,58.8,57.0,2761.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.59,62.0,55.0,2761.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.8,61.4,57.0,2761.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.74,62.2,56.0,2761.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.9,63.0,58.0,2761.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.74,62.2,59.0,2762.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.73,62.6,56.0,2762.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.8,61.7,58.0,2762.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.71,62.4,54.0,2762.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.7,60.7,58.0,2762.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.8,59.9,59.0,2762.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.71,62.3,56.0,2762.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.74,62.3,54.0,2762.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.7,61.7,63.0,2762.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.7,64.5,57.0,2762.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.7,61.6,60.0,2762.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.91,61.4,56.0,2763.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.61,59.6,57.0,2763.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.91,64.4,57.0,2763.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.77,62.0,56.0,2763.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.71,63.6,58.0,2764.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.71,61.9,59.0,2764.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,62.6,60.0,2765.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.77,61.3,60.0,2765.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.63,60.9,60.0,2765.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.71,60.1,62.0,2765.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0.71,61.8,59.0,2765.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.76,61.2,57.0,2765.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.64,61.9,56.0,2766.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.71,60.9,57.0,2766.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.7,61.8,55.0,2767.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.7,60.0,57.0,2767.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0.71,61.6,55.0,2767.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7,62.1,64.0,2767.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.71,63.3,59.0,2768.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0.73,60.2,56.0,2768.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,61.1,58.0,2768.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,60.9,57.0,2768.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.71,61.7,59.0,2768.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.74,61.3,56.0,2769.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.71,62.5,60.0,2770.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.73,61.4,59.0,2770.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.76,62.9,57.0,2770.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.76,62.4,57.0,2770.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.71,60.7,56.0,2770.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.73,61.5,58.0,2770.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.73,59.9,57.0,2770.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.72,60.3,56.0,2771.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0.73,61.7,60.0,2771.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.71,61.9,57.0,2771.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.79,61.9,55.0,2771.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.73,60.4,59.0,2772.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.8,61.0,57.0,2772.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0.58,61.5,55.0,2772.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.58,61.7,56.0,2772.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.71,59.2,61.0,2772.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.75,61.3,56.0,2773.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7,58.0,62.0,2773.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.17,60.2,61.0,2774.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.6,61.7,55.0,2774.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.7,62.7,55.0,2774.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.83,64.6,54.0,2774.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.74,61.3,61.0,2775.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.72,63.7,56.4,2776.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0.71,62.7,58.0,2776.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.71,62.2,57.0,2776.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.54,61.6,56.0,2776.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.72,61.8,56.0,2776.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.72,59.7,60.5,2776.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.71,60.5,56.0,2776.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.7,62.7,58.0,2777.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.71,62.1,58.0,2777.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.71,62.8,57.0,2777.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.71,63.8,58.0,2777.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.7,62.1,55.0,2777.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.7,61.1,60.0,2777.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.7,60.0,59.0,2777.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.7,61.4,57.0,2777.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.72,61.8,61.0,2777.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.7,59.9,63.0,2777.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.7,64.1,59.0,2777.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.98,67.9,60.0,2777.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.78,62.4,58.0,2777.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.52,61.3,55.0,2778.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.73,60.8,56.0,2779.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0.74,61.7,56.0,2779.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.7,63.6,57.0,2780.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.77,61.2,58.0,2780.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.71,62.1,54.0,2780.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.74,61.5,55.0,2780.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.7,61.4,59.0,2780.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.01,61.8,60.0,2781.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.77,62.2,56.0,2781.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.78,61.2,56.0,2781.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.72,60.6,63.0,2782.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.53,57.5,64.0,2782.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.76,61.3,56.0,2782.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.7,57.2,62.0,2782.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.7,62.9,60.0,2782.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.75,63.1,58.0,2782.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.72,60.8,57.0,2782.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.72,62.7,59.0,2782.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,62.8,60.0,2782.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.84,55.1,67.0,2782.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.75,61.4,59.0,2782.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.52,62.2,55.0,2783.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.72,63.0,54.0,2784.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.79,63.7,56.0,2784.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.72,63.6,58.0,2787.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.51,62.0,57.0,2787.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.64,61.5,56.0,2787.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.7,60.5,60.0,2788.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.83,61.1,60.0,2788.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0.76,61.8,56.0,2788.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.71,63.3,56.0,2788.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.77,59.4,64.0,2788.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.71,62.5,55.0,2788.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.01,64.5,58.0,2788.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.01,62.7,59.0,2788.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.77,64.2,52.0,2789.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.76,63.7,54.0,2789.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.76,60.4,58.0,2789.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.05,63.2,56.0,2789.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0.81,61.6,56.0,2789.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.7,61.6,56.0,2789.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.55,60.9,57.0,2789.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.81,61.0,61.0,2789.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.63,62.1,57.0,2789.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.63,60.9,60.0,2789.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.77,61.3,60.0,2789.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.05,65.8,59.0,2789.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.64,61.3,56.0,2790.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.76,58.8,59.0,2790.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.83,62.3,55.0,2790.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.71,60.1,62.0,2790.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.87,63.6,55.8,2791.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.73,62.2,56.0,2791.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.71,59.2,59.0,2792.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.71,61.3,55.0,2792.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.7,62.1,60.0,2792.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.76,59.6,57.0,2792.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.7,62.2,56.0,2792.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.79,60.6,57.0,2793.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.7,62.9,57.0,2793.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.7,64.1,55.0,2793.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.76,61.3,56.0,2793.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.73,62.7,55.0,2793.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.79,63.2,56.0,2794.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.71,60.7,56.0,2795.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.81,61.9,60.0,2795.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.81,62.6,55.0,2795.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.72,60.7,60.0,2795.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.72,62.0,60.0,2795.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.72,63.0,57.0,2795.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.81,58.0,59.0,2795.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.72,62.9,57.0,2795.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.0,58.2,60.0,2795.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.73,63.2,58.0,2796.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.81,61.3,59.0,2797.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0.81,60.3,60.0,2797.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.71,62.7,60.0,2797.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.57,61.9,55.0,2797.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.51,61.7,56.0,2797.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.72,61.9,58.0,2797.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.74,61.8,58.0,2797.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.7,58.8,66.0,2797.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.8,61.0,57.0,2797.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.01,67.4,60.0,2797.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.8,63.4,60.0,2797.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0.77,61.5,59.0,2798.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.83,58.0,62.0,2799.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0.82,62.4,54.0,2799.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.78,61.9,57.0,2799.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
